,question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_recall,context_precision,answer_correctness
0,شرایط تاجر بودن چیست؟,شرایط تاجر بودن شامل انجام معاملات تجاری به صورت شغل معمولی، انجام معاملات با تجار، کسبه، صرافان، بانک‌ها، انجام معاملات برای حوائج تجارتی خود یا امور تجارتی ارباب خود، و شرکت در معاملات شرکت‌های تجارتی می‌باشد.,"['ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n']",تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1),0.0,0.9662487551828528,1.0,0.99999999995,0.8955666603237435
1,خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,خرید یا تحصیل مال منقول برای منظور فروش یا اجاره جزء معاملات تجارتی محسوب می‌شود.,"['ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 54(الحاقي 24ˏ12ˏ1347)- پذيرهنويسي و خريد اوراق قرضه عمل تجاري نميباشد.\n\n\n'
 'ماده 2 - معاملات تجارتي از قرار ذيل است:\n\n1) خريد يا تحصيل هر نوع مال منقول بقصد فروش يا اجاره اعم از اينكه تصرفاتي در آن شده يا نشده باشد.\n\n2) تصدي به حمل و نقل از راه خشكي يا آب يا هوا بهر نحوي كه باشد.\n\n3) هر قسم عمليات دلالي يا حقالعمل كاري (كميسيون) و يا عاملي و همچنين تصدي بهر نوع تأسيساتي كه براي انجام بعضي امور ايجاد ميشود از قبيل تسهيل معاملات ملكي يا پيدا كردن خدمه يا تهيه و رسانيدن ملزومات و غيره.\n\n4) تأسيس و به كار انداختن هر قسم كارخانه مشروط بر اينكه براي رفع حوائج شخصي نباشد.\n\n5) تصدي بعمليات حراجي.\n\n6) تصدي بهر قسم نمايشگاههاي عمومي.\n\n7) هر قسم عمليات صرافي و بانكي.\n\n8) معاملات برواتي اعم از اينكه بين تاجر يا غير تاجر باشد.\n\n9) عمليات بيمه بحري و غير بحري\n\n10) كشتي سازي و خريد و فروش كشتي و كشتيراني داخلي يا خارجي و معاملات راجعه به آنها.\n\n']",برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2),1.0,0.9180358904922308,1.0,0.3333333333,0.7286394885973545
2,انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,همه معاملات تجارتی محسوب می‌شوند مگر اینکه ثابت شود معامله مربوط به امور تجارتی نیست.,"['ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 5 - كليه معاملات تجار تجارتي محسوب است مگر اينكه ثابت شود معامله مربوط بامور تجارتي نيست.\n\nباب دوم\nدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول - دفاتر تجارتي\n\n']",عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2),0.5,0.892478837562742,1.0,0.3333333333,0.8575408285573478
3,تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,تأسیس و به کار انداختن کارخانه جزء معاملات تجارتی محسوب می‌شود.,"['ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 54(الحاقي 24ˏ12ˏ1347)- پذيرهنويسي و خريد اوراق قرضه عمل تجاري نميباشد.\n\n\n']",برای رفع حوائج شخصی نباشد. (ماده 2),0.0,0.9262331431200413,0.0,0.0,0.706670787269886
4,چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه تجارتی محسوب می‌شود.,"['ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n'
 'ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n']",کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3),,0.9453617302188667,1.0,0.9999999999666667,0.7372304214820947
5,دفاتری که تاجر باید داشته باشد کدامند؟,"1. دفتر روزنامه
2. دفتر کپیه","['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n']",دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6),1.0,0.7485759065142714,0.75,0.9999999999666667,0.7328882066280918
6,دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,دفتر روزنامه باید همه روزه مطالبات و دیون و داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و بطور کلی جمیع واردات و صادرات تجارتی خود را بهر اسم و رسمی که باشد و وجوهی را که برای مخارج شخصی خود برداشت می‌کند در آن دفتر ثبت نماید.,"['ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n'
 'ماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو طرف قيطان را با مهر سربي كه وزارت عدليه براي اين مقصود تهيه مينمايد منگنه كند. لازم است كليه اعداد حتي تاريخ با تمام حروف نوشته شود.\n\n']",مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7),1.0,0.8117213624735392,1.0,0.99999999995,0.7282942526844244
7,دفتر کل چگونه باید تنظیم شود؟,باید تنظیم شود.,[],کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8),,0.0,1.0,0.0,0.20524509498149954
8,دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,دفتر دارایی شامل اسناد، نوشتجات، اسباب و اثاثیه تجارتخانه و منزل تاجر است که باید مهر موم شود.,['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'],صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9),1.0,0.9500563365621756,0.0,0.0,0.2136970089442604
9,نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,مراسلات و مخابرات باید توسط تاجر در دفتر کپیه به ترتیب تاریخ ثبت شوند.,['ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n'],کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10),1.0,0.9014917367973639,1.0,0.9999999999,0.7331642089527834
10,قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتری که برای امضاء به متصدی امضاء تسلیم می‌شوند باید توسط نماینده اداره ثبت امضا شوند.,"['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو طرف قيطان را با مهر سربي كه وزارت عدليه براي اين مقصود تهيه مينمايد منگنه كند. لازم است كليه اعداد حتي تاريخ با تمام حروف نوشته شود.\n\n'
 'ماده 205 - در هر مورد كه اشخاصي غير از مديران شركت براي تصفيه معين شوند اسامي آنها بايد در اداره ثبت اسناد ثبت و اعلان گردد.\n\n']",دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11),1.0,0.8945107028559063,1.0,0.9999999999,0.7142128385885427
11,چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,"1. دارا بودن نمره ترتیبی و قیطان کشیده
2. شمردن صفحات دفتر و نوشتن مجموع آنها در صفحه اول و آخر هر دفتر
3. نوشتن باسم و رسم صاحب دفتر با تاریخ امضاء
4. مهر سربی بر روی دو طرف قیطان
5. نوشتن اعداد حتی تاریخ با تمام حروف","['ماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو طرف قيطان را با مهر سربي كه وزارت عدليه براي اين مقصود تهيه مينمايد منگنه كند. لازم است كليه اعداد حتي تاريخ با تمام حروف نوشته شود.\n\n'
 'ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 11 - دفاتر مذكور در ماده 6 به استثناءِ دفتر كپيه قبل از آنكه در آن چيزي نوشته شده باشد بتوسط نماينده اداره ثبت (كه مطابق نظامنامه وزارت عدليه معين ميشود) امضاء خواهد شد. براي دفتر كپيه امضاءِ مزبور لازم نيست ولي بايد اوراق آن داراي نمره ترتيبي باشد. در موقع تجديد ساليانه هر دفتر مقررات اين ماده رعايت خواهد شد.\nحق امضاء از قرار هر صد صفحه يا كسور آن دو ريال و بعلاوه مشمول ماده (135) قانون ثبت اسناد است.\n\n']",دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12),0.8,0.8584852704944277,0.6666666666666666,0.8333333332916666,0.6019927365024507
12,ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,تراشیدن، حک کردن، جای سفید گذاشتن بیش از حد معمول، نوشتن در حاشیه یا بین سطور ممنوع است.,"['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 13 - كليه معاملات و صادرات و واردات در دفاتر مذكوره فوق بايد بترتيب تاريخ در صفحات مخصوصه نوشته شود - تراشيدن و حككردن و همچنين جاي سفيد گذاشتن بيش از آنچه كه در دفترنويسي معمول است و در حاشيه و يا بين سطور نوشتن ممنوع است و تاجر بايد تمام آن دفاتر را از ختم هر سالي لااقل تا ده سال نگاهدارد.\n\n']",تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13),1.0,0.9196792251593863,1.0,0.49999999995,0.7460549065020824
13,دفاتر مطابق مقررات چه اعتباری دارند؟,بدون اطلاعات بیشتر، نمی‌توان پاسخ دقیقی ارائه داد.,[],بین تجار در امور تجارتی سندیت دارند. (ماده 14),,0.0,1.0,0.0,0.2026679401801625
14,تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 548 مستلزم جزای نقدی است.,['ماده 548 - مخارج تعقيبي كه از طرف يكي از طلبكارها بعمل ميآيد در صورت محكوميت تاجر ورشكسته بعهده دولت و در صورت برائت ذمه بعهده تعقيب كننده است.\n\nفصل دوم - در ورشكستگي به تقلب\n\n'],تخلف از ماده 6 و ماده 11. (ماده 15),0.0,0.905954457189034,0.0,0.0,0.594993915749715
15,چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که در نقاط بشغل تجارت اشتغال دارند اعماز ایرانی و خارجی با استثنای کسبه جزء باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند.,"['ماده 16 - در نقاطي كه وزارت عدليه مقتضي دانسته و دفتر ثبت تجارتي تأسيس كند كليه اشخاصي كه در آن نقاط بشغل تجارت اشتغال دارند اعماز ايراني و خارجي باستثناي كسبه جزء بايد در مدت مقرر اسم خود را در دفتر ثبت تجارتي به ثبت برسانند و الا بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم خواهند شد. \n\n'
 'ماده 578 - اسم تجارتي ثبت شده را هيچ شخص ديگري در همان محل نميتواند اسم تجارتي خود قرار دهد ولو اينكه اسم تجارتي ثبت شده بااسم خانوادگي او يكي باشد.\n\n'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n']",کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16),,0.9350603630745559,1.0,0.9999999999666667,0.7380315127412701
16,وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی شامل تصریح مقررات مربوط به دفتر ثبت تجارتی و موضوعاتی که باید به ثبت برسد بموجب نظامنامه معین می‌شود.,"['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 576 - ثبت اسم تجارتي اختياري است مگر در موارديكه وزارتعدليه ثبت آنرا الزامي كند.\n\n'
 'ماده 17 - مقررات مربوطه بدفتر ثبت تجارتي را وزارت عدليه با تصريح بموضوعاتي كه بايد به ثبت برسد بموجب نظامنامه معين خواهد كرد.\n\n']",مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17),1.0,0.8441779671811377,1.0,0.5833333333041666,0.7315533646708642
17,تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تاجر باید کلیه مراسلات، مخابرات، صورتحسابهای صادره و وارده، مطالبات، دیون، داد و ستد تجارتی، معاملات راجع به اوراق تجارتی، و جمیع واردات و صادرات تجارتی خود را در اسناد خود ثبت کند.,"['ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n'
 'ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n'
 'ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n']",تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18),0.75,0.7904144820326481,0.8,0.9999999999,0.21174374051518427
18,شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,با استفاده از کدامکدهای موجود در متن، شناسایی کسبه انجام می‌شود.,[],مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19),,0.9096514853071921,1.0,0.0,0.5779702639828104
19,انواع شرکت‌های تجارتی کدامند؟,انواع شرکت‌های تجارتی شامل شرکت‌هایی هستند که شخصیت حقوقی دارند و معاملات تجاری انجام می‌دهند.,"['ماده 583 - كليه شركتهاي تجارتي مذكور در اين قانون شخصيت حقوقي دارند.\n\n'
 'ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n']",شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20),1.0,0.9570668901723,1.0,0.3333333333,0.7184994357211643
